# Log file created with: 'geigerlog_simple_500plus.py', Version: 0.1 (code °µ°)
# Python Version: 2.7.12 (default, Dec  4 2017, 14:50:18) [GCC 5.4.0 20160609]
# DateTime,          CPS, CPM, CPM1st, CPM2nd
2018-07-16 09:03:45, 0, 8, 8, 8
2018-07-16 09:03:46, 2, 10, 10, 10
2018-07-16 09:03:47, 0, 9, 9, 9
2018-07-16 09:03:48, 0, 9, 9, 9
2018-07-16 09:03:49, 1, 9, 9, 9
2018-07-16 09:03:50, 0, 9, 9, 9
2018-07-16 09:03:51, 1, 10, 10, 10
2018-07-16 09:03:52, 0, 10, 10, 10
2018-07-16 09:03:53, 0, 10, 10, 10
2018-07-16 09:03:54, 0, 10, 10, 10
2018-07-16 09:03:55, 1, 10, 10, 10
2018-07-16 09:03:56, 0, 10, 10, 10
2018-07-16 09:03:57, 0, 10, 10, 10
2018-07-16 09:03:58, 0, 10, 10, 10
2018-07-16 09:03:59, 0, 10, 10, 10
2018-07-16 09:04:01, 0, 9, 9, 9
2018-07-16 09:04:02, 0, 8, 8, 8
2018-07-16 09:04:03, 0, 7, 7, 7
2018-07-16 09:04:04, 0, 7, 7, 7
2018-07-16 09:04:05, 1, 8, 8, 8
2018-07-16 09:04:06, 0, 8, 8, 8
2018-07-16 09:04:07, 0, 8, 8, 8
2018-07-16 09:04:08, 0, 8, 8, 8
2018-07-16 09:04:09, 0, 8, 8, 8
2018-07-16 09:04:10, 0, 8, 8, 8
2018-07-16 09:04:11, 1, 9, 9, 9
2018-07-16 09:04:12, 2, 11, 11, 11
2018-07-16 09:04:13, 0, 11, 11, 11
2018-07-16 09:04:14, 2, 13, 13, 13
2018-07-16 09:04:15, 1, 14, 14, 14
2018-07-16 09:04:16, 0, 14, 14, 14
2018-07-16 09:04:17, 0, 14, 14, 14
2018-07-16 09:04:18, 0, 14, 14, 14
2018-07-16 09:04:19, 0, 14, 14, 14
2018-07-16 09:04:20, 0, 14, 14, 14
2018-07-16 09:04:21, 0, 14, 14, 14
2018-07-16 09:04:22, 1, 15, 15, 15
2018-07-16 09:04:23, 0, 15, 15, 15
2018-07-16 09:04:24, 0, 15, 15, 15
2018-07-16 09:04:25, 1, 16, 16, 16
2018-07-16 09:04:26, 1, 17, 17, 17
2018-07-16 09:04:27, 1, 17, 17, 17
2018-07-16 09:04:28, 0, 17, 17, 17
2018-07-16 09:04:29, 0, 17, 17, 17
2018-07-16 09:04:30, 1, 18, 18, 18
2018-07-16 09:04:31, 0, 18, 18, 18
2018-07-16 09:04:32, 0, 18, 18, 18
2018-07-16 09:04:33, 1, 19, 19, 19
2018-07-16 09:04:34, 0, 19, 19, 19
2018-07-16 09:04:35, 0, 18, 18, 18
2018-07-16 09:04:36, 0, 18, 18, 18
2018-07-16 09:04:37, 1, 19, 19, 19
2018-07-16 09:04:38, 0, 19, 19, 19
2018-07-16 09:04:39, 0, 19, 19, 19
2018-07-16 09:04:40, 0, 19, 19, 19
2018-07-16 09:04:41, 1, 20, 20, 20
2018-07-16 09:04:42, 0, 20, 20, 20
2018-07-16 09:04:43, 1, 21, 21, 21
2018-07-16 09:04:44, 0, 21, 21, 21
2018-07-16 09:04:45, 1, 22, 22, 22
2018-07-16 09:04:46, 0, 20, 20, 20
2018-07-16 09:04:47, 0, 20, 20, 20
2018-07-16 09:04:48, 1, 21, 21, 21
2018-07-16 09:04:49, 0, 20, 20, 20
2018-07-16 09:04:50, 0, 20, 20, 20
2018-07-16 09:04:51, 0, 19, 19, 19
2018-07-16 09:04:52, 0, 19, 19, 19
2018-07-16 09:04:53, 1, 20, 20, 20
2018-07-16 09:04:54, 0, 20, 20, 20
2018-07-16 09:04:55, 0, 19, 19, 19
2018-07-16 09:04:56, 0, 19, 19, 19
